timestamp,n_donors,donor_r2,donor_mae_hrs,baseline_mae_hrs,improvement_pct,muscle_r2,muscle_mae_hrs,lung_r2,lung_mae_hrs,skin_r2,skin_mae_hrs,nerve_r2,nerve_mae_hrs,n_var_genes,cv_strategy,,,,
20260805_130945,836,0.6142,2.46,4.55,45.9,0.5614,2.54,0.661,2.48,0.5457,2.64,0.553,2.47,1200,stratified_group_kfold,,,,Startified 5 Fold
20260805_205115,836,0.6303,2.41,4.55,47.1,0.5694,2.51,0.6764,2.4,0.544,2.65,0.5822,2.41,1200,standard_5fold_group_kfold,,,,Std 5 Fold 
20260805_213132,836,0.6087,2.46,4.55,45.8,0.5615,2.53,0.6726,2.45,0.5515,2.6,0.5737,2.43,1200,RandomForest,,,,Random Forest
20260806_124158,836,0.6204,2.44,4.55,46.4,0.5766,2.49,0.6777,2.41,0.5548,2.62,0.5832,2.41,1200,StackingEnsemble,,,,XGBoost + Random Forest + Ridge
20260807_144625,XGBoost,836,0.62,2.43,4.55,46.6,0.5561,2.52,0.6714,2.45,0.5556,2.6,0.5595,2.47,1200,stratified_group_kfold,,,
20260807_144625,RandomForest,836,0.6103,2.47,4.55,45.6,0.5604,2.52,0.6674,2.48,0.5606,2.59,0.577,2.44,1200,stratified_group_kfold,,,
20260807_144626,Blend_XGB_RF,836,0.6188,2.44,4.55,46.3,0.5654,2.49,0.6751,2.45,0.5652,2.58,0.576,2.44,1200,stratified_group_kfold,,,
20260808_120410,Optimized_XGBoost,836,0.6272,2.43,4.55,46.6,0.5497,2.56,0.6662,2.49,0.5618,2.58,0.5622,2.49,2000,standard_5fold_group_kfold,,,
20260811_230434,836,0.6607,2.26,4.55,50.3,0.614,2.31,0.6865,2.34,0.595,2.49,0.5721,2.37,500,5-fold donor-level,,,,Proper Std 5 Fold (Tissue_Specific_XGBoost)
20260812_002901,836,0.6873,2.24,4.55,50.8,0.6468,2.27,0.7075,2.35,0.6154,2.48,0.591,2.41,,XGB + RF + ExtraTrees Direct/Log + Ridge,,,,OOF
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Microbiome Model,,,,,,,,,,,,,,,,,,,
20260811_224938,Temp_Aware_Microbial_XGBoost,27,1810,0.9882,10.16,126.6,92,600,donor_5fold_group_kfold_temp_aware,,,,,,,,,,
